id,POS,NodeType
319,NOUN,synset
320,NOUN,synset
321,NOUN,synset
322,NOUN,synset
323,NOUN,synset
324,NOUN,synset
325,NOUN,synset
326,NOUN,synset
327,NOUN,synset
328,NOUN,synset
329,NOUN,synset
330,NOUN,synset
331,NOUN,synset
332,NOUN,synset
333,NOUN,synset
334,NOUN,synset
335,NOUN,synset
336,NOUN,synset
337,NOUN,synset
338,NOUN,synset
339,NOUN,synset
340,NOUN,synset
341,NOUN,synset
342,NOUN,synset
343,NOUN,synset
344,NOUN,synset
345,NOUN,synset
346,NOUN,synset
347,NOUN,synset
348,NOUN,synset
349,NOUN,synset
350,NOUN,synset
351,NOUN,synset
352,NOUN,synset
353,NOUN,synset
354,NOUN,synset
355,NOUN,synset
356,NOUN,synset
357,NOUN,synset
358,NOUN,synset
359,NOUN,synset
360,NOUN,synset
361,NOUN,synset
362,NOUN,synset
363,NOUN,synset
364,NOUN,synset
365,NOUN,synset
366,NOUN,synset
367,NOUN,synset
368,NOUN,synset
369,NOUN,synset
370,NOUN,synset
371,NOUN,synset
372,NOUN,synset
373,NOUN,synset
374,NOUN,synset
375,NOUN,synset
376,NOUN,synset
377,NOUN,synset
378,NOUN,synset
379,NOUN,synset
380,NOUN,synset
381,NOUN,synset
382,NOUN,synset
383,NOUN,synset
384,NOUN,synset
385,NOUN,synset
386,NOUN,synset
387,NOUN,synset
388,NOUN,synset
389,NOUN,synset
390,NOUN,synset
391,NOUN,synset
392,NOUN,synset
393,NOUN,synset
394,NOUN,synset
395,NOUN,synset
396,NOUN,synset
397,NOUN,synset
398,NOUN,synset
399,NOUN,synset
400,NOUN,synset
401,NOUN,synset
402,NOUN,synset
403,NOUN,synset
404,NOUN,synset
405,NOUN,synset
406,NOUN,synset
407,NOUN,synset
408,NOUN,synset
409,NOUN,synset
410,NOUN,synset
411,NOUN,synset
412,NOUN,synset
413,NOUN,synset
414,NOUN,synset
415,NOUN,synset
416,NOUN,synset
417,NOUN,synset
418,NOUN,synset
419,NOUN,synset
420,NOUN,synset
421,NOUN,synset
422,NOUN,synset
423,NOUN,synset
424,NOUN,synset
425,NOUN,synset
426,NOUN,synset
427,NOUN,synset
428,NOUN,synset
429,NOUN,synset
430,NOUN,synset
431,NOUN,synset
432,NOUN,synset
433,NOUN,synset
434,NOUN,synset
435,NOUN,synset
436,NOUN,synset
437,NOUN,synset
438,NOUN,synset
439,NOUN,synset
440,NOUN,synset
441,NOUN,synset
442,NOUN,synset
443,NOUN,synset
444,NOUN,synset
445,NOUN,synset
446,NOUN,synset
447,NOUN,synset
448,NOUN,synset
449,NOUN,synset
450,NOUN,synset
451,NOUN,synset
452,NOUN,synset
